Player,Matches,Wins,Losses,Win%,Ace%,DF%,1stIn,1st%,2nd%,SPW%,RPW%,TPW%,DomRatio
Oscar Hernandez,15,2,13,0.13333333333333333,0.046831955922865015,0.02938475665748393,0.660238751147842,0.6050069541029207,0.4702702702702703,0.559228650137741,0.29809725158562367,0.43783783783783786,0.6763081395348837
Ryan Sweeting,66,26,40,0.3939393939393939,0.048747591522158,0.06011560693641618,0.6333333333333333,0.6674779434134469,0.48081975827640566,0.5990366088631984,0.3648378053664397,0.4841908876669285,0.9099030321248545
Albert Ramos,161,69,92,0.42857142857142855,0.04181494661921708,0.03542542866386283,0.6107246845681009,0.6719639782810224,0.505298150841471,0.6070850857327725,0.3778712390812035,0.49247816240698805,0.9617126389460683
Simone Bolelli,68,26,42,0.38235294117647056,0.04911814906125545,0.022757443580504456,0.6586383462924331,0.6847106248200403,0.5172222222222222,0.6275365067324103,0.34264330047462577,0.4823737326760301,0.9199379447060598
Ivan Navarro,15,4,11,0.26666666666666666,0.08094768015794669,0.039486673247778874,0.6229022704837117,0.7036450079239303,0.48429319371727747,0.6209279368213229,0.304162219850587,0.4687179487179487,0.8023862726787622
Filippo Volandri,100,32,68,0.32,0.006863140896245458,0.031220562508410713,0.693984658861526,0.6079115764979639,0.4758135444151275,0.5674875521464137,0.3899344765091315,0.4802793755135579,0.9015566567950704
Paolo Lorenzi,104,33,71,0.3173076923076923,0.043136226563524324,0.03540055067523273,0.5955159302478038,0.6693086745926905,0.47487844408427876,0.5906647436737905,0.3657904959212741,0.4775244299674267,0.893620791925547
Andreas Beck,38,10,28,0.2631578947368421,0.03860880663688577,0.05137204850031908,0.5890236119974473,0.6657638136511376,0.5093167701863354,0.6014677728142949,0.3399602385685885,0.47317945383615084,0.8530307347269467
Filip Krajinovic,18,7,11,0.3888888888888889,0.06033789219629927,0.02413515687851971,0.6186645213193885,0.6631989596879063,0.48945147679324896,0.5969428801287209,0.358974358974359,0.4758893280632411,0.8906289984134297
Daniel Munoz de la Nava,18,6,12,0.3333333333333333,0.026976160602258468,0.04077791718946048,0.5583437892095358,0.6573033707865169,0.48579545454545453,0.581555834378921,0.3692509855453351,0.47785622593068033,0.8824378874951487
Julian Reister,39,13,26,0.3333333333333333,0.04219055602123498,0.03073484213467449,0.6990779547359598,0.6578737010391686,0.4856081708449396,0.606035205364627,0.3633217993079585,0.48659003831417624,0.922218950158286
Tobias Kamke,137,53,84,0.38686131386861317,0.02688919796012981,0.04330088085303663,0.5904496986555401,0.6559359296482412,0.4969436268960833,0.5908205841446453,0.3857758620689655,0.4888381413990772,0.9428036873813264
Edouard Roger Vasselin,151,63,88,0.41721854304635764,0.051762882603642,0.030530802014722976,0.6447888415342891,0.7001562312222088,0.5028359511343804,0.6300658659434327,0.36121553884711777,0.4963580415222218,0.9764320336870662
Grega Zemlja,56,26,30,0.4642857142857143,0.08735909822866345,0.034420289855072464,0.5913848631239935,0.713070115724983,0.4891625615763547,0.6215780998389694,0.3539731682146543,0.4894527667380006,0.9353929253672354
Nicolas Mahut,125,61,64,0.488,0.10662122687439143,0.04070107108081791,0.6126582278481013,0.7452320406865861,0.5113122171945701,0.6546251217137293,0.3456971837896183,0.5007575387322223,1.0009332048264392
Kei Nishikori,223,150,73,0.672645739910314,0.04055912007332722,0.03712190650779102,0.6179537121906508,0.6997311578752202,0.5231668915879443,0.632275435380385,0.39954828403018783,0.5136341936027409,1.0865422723213833
Grigor Dimitrov,206,122,84,0.5922330097087378,0.09559512652296158,0.04092471102780381,0.6120587316463605,0.749693752552062,0.5216621033982928,0.6612308653545766,0.3642768850432633,0.5119465589560355,1.0752953790330926
